Run started: 2026-03-01T21:49:24
Total params: 4,165,985 (15.89 MB)
Trainable params: 4,165,985 (15.89 MB)
Non-trainable params: 0 (0.00 B)
--------------------------------------------------------------------------------
Training setup | epochs=15 | optimizer=AdamW(lr=3e-4, weight_decay=1e-5)
step=45300 train_batch_loss=0.0575
step=45400 train_batch_loss=0.2309
step=45500 train_batch_loss=0.2609
step=45600 train_batch_loss=0.3339
step=45700 train_batch_loss=0.4564
step=45800 train_batch_loss=0.2327
step=45900 train_batch_loss=0.3174
step=46000 train_batch_loss=0.1544
step=46100 train_batch_loss=0.1539
step=46200 train_batch_loss=0.1224
step=46300 train_batch_loss=0.2401
step=46400 train_batch_loss=0.3505
step=46500 train_batch_loss=0.2234
step=46600 train_batch_loss=0.1276
step=46700 train_batch_loss=0.2874
step=46800 train_batch_loss=0.1680
step=46900 train_batch_loss=0.1790
step=47000 train_batch_loss=0.1392
step=47100 train_batch_loss=0.3784
step=47200 train_batch_loss=0.3352
step=47300 train_batch_loss=0.3281
step=47400 train_batch_loss=0.1278
step=47500 train_batch_loss=0.3363
step=47600 train_batch_loss=0.1839
step=47700 train_batch_loss=0.1626
step=47800 train_batch_loss=0.3478
step=47900 train_batch_loss=0.1409
step=48000 train_batch_loss=0.3186
step=48100 train_batch_loss=0.2070
step=48200 train_batch_loss=0.2938
step=48300 train_batch_loss=0.1994
step=48400 train_batch_loss=0.1475
step=48500 train_batch_loss=0.1958
step=48600 train_batch_loss=0.1413
step=48700 train_batch_loss=0.2473
step=48800 train_batch_loss=0.1523
step=48900 train_batch_loss=0.1874
step=49000 train_batch_loss=0.3935
step=49100 train_batch_loss=0.3265
step=49200 train_batch_loss=0.1375
step=49300 train_batch_loss=0.2786
step=49400 train_batch_loss=0.1715
step=49500 train_batch_loss=0.3149
step=49600 train_batch_loss=0.3539
step=49700 train_batch_loss=0.2949
step=49800 train_batch_loss=0.3784
step=49900 train_batch_loss=0.3012
step=50000 train_batch_loss=0.2297
step=50100 train_batch_loss=0.1852
step=50200 train_batch_loss=0.2690
step=50300 train_batch_loss=0.3149
step=50400 train_batch_loss=0.1890
step=50500 train_batch_loss=0.1516
step=50600 train_batch_loss=0.4034
step=50700 train_batch_loss=0.0797
step=50800 train_batch_loss=0.3170
step=50900 train_batch_loss=0.2402
step=51000 train_batch_loss=0.2875
step=51100 train_batch_loss=0.2320
step=51200 train_batch_loss=0.3073
step=51300 train_batch_loss=0.3458
step=51400 train_batch_loss=0.2928
step=51500 train_batch_loss=0.1474
step=51600 train_batch_loss=0.3210
step=51700 train_batch_loss=0.3723
step=51800 train_batch_loss=0.1637
step=51900 train_batch_loss=0.2456
step=52000 train_batch_loss=0.2916
step=52100 train_batch_loss=0.1414
step=52200 train_batch_loss=0.2096
step=52300 train_batch_loss=0.3132
step=52400 train_batch_loss=0.1367
step=52500 train_batch_loss=0.2558
step=52600 train_batch_loss=0.1599
step=52700 train_batch_loss=0.4164
step=52800 train_batch_loss=0.2160
step=52900 train_batch_loss=0.2330
step=53000 train_batch_loss=0.3314
step=53100 train_batch_loss=0.1939
step=53200 train_batch_loss=0.2416
step=53300 train_batch_loss=0.2939
step=53400 train_batch_loss=0.3400
step=53500 train_batch_loss=0.2478
step=53600 train_batch_loss=0.2483
step=53700 train_batch_loss=0.2336
step=53800 train_batch_loss=0.2539
step=53900 train_batch_loss=0.1780
step=54000 train_batch_loss=0.3618
step=54100 train_batch_loss=0.2170
step=54200 train_batch_loss=0.2843
step=54300 train_batch_loss=0.1313
step=54400 train_batch_loss=0.1152
step=54500 train_batch_loss=0.2291
step=54600 train_batch_loss=0.1956
step=54700 train_batch_loss=0.2389
step=54800 train_batch_loss=0.1932
step=54900 train_batch_loss=0.0733
step=55000 train_batch_loss=0.2310
step=55100 train_batch_loss=0.3288
step=55200 train_batch_loss=0.2111
step=55300 train_batch_loss=0.4448
step=55400 train_batch_loss=0.3613
step=55500 train_batch_loss=0.3663
step=55600 train_batch_loss=0.1509
step=55700 train_batch_loss=0.1771
step=55800 train_batch_loss=0.1379
step=55900 train_batch_loss=0.2742
step=56000 train_batch_loss=0.1362
step=56100 train_batch_loss=0.2272
step=56200 train_batch_loss=0.2525
step=56300 train_batch_loss=0.1880
step=56400 train_batch_loss=0.2927
step=56500 train_batch_loss=0.4085
step=56600 train_batch_loss=0.1734
step=56700 train_batch_loss=0.2888
step=56800 train_batch_loss=0.2202
step=56900 train_batch_loss=0.2051
step=57000 train_batch_loss=0.4180
step=57100 train_batch_loss=0.2029
step=57200 train_batch_loss=0.1603
step=57300 train_batch_loss=0.2314
step=57400 train_batch_loss=0.2649
step=57500 train_batch_loss=0.1105
step=57600 train_batch_loss=0.1437
step=57700 train_batch_loss=0.2034
step=57800 train_batch_loss=0.1822
step=57900 train_batch_loss=0.2545
step=58000 train_batch_loss=0.1308
step=58100 train_batch_loss=0.2436
step=58200 train_batch_loss=0.1754
step=58300 train_batch_loss=0.1417
step=58400 train_batch_loss=0.1444
step=58500 train_batch_loss=0.1698
step=58600 train_batch_loss=0.1483
step=58700 train_batch_loss=0.2044
step=58800 train_batch_loss=0.1732
step=58900 train_batch_loss=0.2509
step=59000 train_batch_loss=0.1634
step=59100 train_batch_loss=0.1408
step=59200 train_batch_loss=0.4369
step=59300 train_batch_loss=0.1276
step=59400 train_batch_loss=0.3661
step=59500 train_batch_loss=0.2020
step=59600 train_batch_loss=0.1894
step=59700 train_batch_loss=0.2437
step=59800 train_batch_loss=0.2473
step=59900 train_batch_loss=0.1628
step=60000 train_batch_loss=0.1978
step=60100 train_batch_loss=0.3328
step=60200 train_batch_loss=0.1965
step=60300 train_batch_loss=0.2992
step=60400 train_batch_loss=0.2570
step=60500 train_batch_loss=0.2624
step=60600 train_batch_loss=0.1981
step=60700 train_batch_loss=0.1960
step=60800 train_batch_loss=0.1508
step=60900 train_batch_loss=0.2129
step=61000 train_batch_loss=0.0817
step=61100 train_batch_loss=0.1781
step=61200 train_batch_loss=0.3350
step=61300 train_batch_loss=0.2463
step=61400 train_batch_loss=0.2019
step=61500 train_batch_loss=0.3553
step=61600 train_batch_loss=0.3508
step=61700 train_batch_loss=0.2064
step=61800 train_batch_loss=0.2746
step=61900 train_batch_loss=0.1487
step=62000 train_batch_loss=0.1343
step=62100 train_batch_loss=0.2627
step=62200 train_batch_loss=0.2299
step=62300 train_batch_loss=0.2168
step=62400 train_batch_loss=0.1846
step=62500 train_batch_loss=0.2358
step=62600 train_batch_loss=0.3114
step=62700 train_batch_loss=0.2025
step=62800 train_batch_loss=0.2199
step=62900 train_batch_loss=0.1374
step=63000 train_batch_loss=0.2170
step=63100 train_batch_loss=0.1247
step=63200 train_batch_loss=0.2172
step=63300 train_batch_loss=0.0825
step=63400 train_batch_loss=0.2128
step=63500 train_batch_loss=0.1716
step=63600 train_batch_loss=0.2910
step=63700 train_batch_loss=0.0895
step=63800 train_batch_loss=0.1289
step=63900 train_batch_loss=0.2427
step=64000 train_batch_loss=0.1935
step=64100 train_batch_loss=0.2204
step=64200 train_batch_loss=0.2031
step=64300 train_batch_loss=0.1616
step=64400 train_batch_loss=0.1947
step=64500 train_batch_loss=0.1513
step=64600 train_batch_loss=0.2094
step=64700 train_batch_loss=0.2266
step=64800 train_batch_loss=0.2591
step=64900 train_batch_loss=0.2606
step=65000 train_batch_loss=0.2677
step=65100 train_batch_loss=0.1602
step=65200 train_batch_loss=0.1644
step=65300 train_batch_loss=0.4729
step=65400 train_batch_loss=0.3234
step=65500 train_batch_loss=0.2703
step=65600 train_batch_loss=0.1582
step=65700 train_batch_loss=0.1771
step=65800 train_batch_loss=0.1391
step=65900 train_batch_loss=0.1549
step=66000 train_batch_loss=0.1198
step=66100 train_batch_loss=0.2165
step=66200 train_batch_loss=0.1382
step=66300 train_batch_loss=0.2686
